epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time_sec,test_acc_c0,test_acc_c1,test_acc_c2,test_acc_c3,test_acc_c4,test_auc_macro,test_auc_weighted,test_auc_c0,test_auc_c1,test_auc_c2,test_auc_c3,test_auc_c4
91,0.841796,65.583,1.510411,50.500,0.00025182,23.275,72.989,17.391,46.739,32.353,10.000,0.706268,0.741712,0.826823,0.672501,0.628953,0.749114,0.653947
92,0.831156,65.833,1.608212,45.500,0.00024742,23.279,82.184,4.348,29.348,10.294,15.000,0.712359,0.744665,0.818864,0.625829,0.671372,0.748228,0.697500
93,0.848689,66.417,1.597884,47.250,0.00024286,23.234,80.460,15.217,23.913,26.471,10.000,0.709683,0.745038,0.830587,0.630496,0.645080,0.756201,0.686053
94,0.830597,66.750,1.545869,48.500,0.00023817,23.303,75.287,17.391,41.304,20.588,15.000,0.706326,0.737527,0.826086,0.646647,0.647163,0.703180,0.708553
95,0.813334,66.000,1.644894,48.250,0.00023334,23.310,83.333,13.043,13.043,44.118,0.000,0.694887,0.729438,0.812303,0.653832,0.619212,0.741850,0.647237
96,0.826780,66.000,1.598586,48.250,0.00022837,23.236,78.161,2.174,40.217,22.059,20.000,0.710588,0.745876,0.827383,0.629514,0.647127,0.769047,0.679868
97,0.819551,68.000,1.576041,50.250,0.00022329,23.273,78.161,26.087,30.435,33.824,10.000,0.704582,0.736371,0.821737,0.641918,0.652986,0.704952,0.701316
98,0.810730,66.333,1.668452,48.750,0.00021810,23.287,78.161,6.522,47.826,13.235,15.000,0.710866,0.742319,0.815151,0.628470,0.662761,0.755182,0.692763
99,0.806975,66.500,1.681866,46.000,0.00021280,23.271,81.034,10.870,15.217,30.882,15.000,0.709027,0.744612,0.830867,0.659113,0.633082,0.755625,0.666447
100,0.787898,68.333,1.604307,46.250,0.00020740,23.263,76.437,19.565,20.652,32.353,10.000,0.704839,0.732522,0.819016,0.648366,0.622600,0.723157,0.711053
101,0.761623,69.333,1.581381,48.500,0.00020192,23.166,83.333,4.348,33.696,19.118,15.000,0.695955,0.729960,0.806785,0.627794,0.646174,0.735338,0.663684
102,0.790104,69.167,1.662336,48.500,0.00019635,22.938,77.011,21.739,28.261,32.353,10.000,0.694297,0.728627,0.815151,0.621346,0.616177,0.749336,0.669474
103,0.765417,70.083,1.685685,45.750,0.00019072,22.688,87.356,6.522,17.391,11.765,20.000,0.697647,0.729866,0.816626,0.621776,0.638516,0.714210,0.697105
104,0.765050,69.417,1.730568,49.500,0.00018502,22.732,79.310,26.087,26.087,29.412,20.000,0.702483,0.739496,0.834503,0.610906,0.639469,0.731485,0.696053
105,0.751153,69.917,1.695635,45.750,0.00017926,22.730,80.460,4.348,29.348,17.647,10.000,0.689296,0.723961,0.808590,0.630496,0.626623,0.721297,0.659474
106,0.755985,71.250,1.753653,47.750,0.00017347,22.708,81.609,15.217,22.826,26.471,15.000,0.698002,0.736518,0.822780,0.642840,0.638058,0.738439,0.647895
107,0.762316,70.083,1.713267,50.000,0.00016763,22.743,72.989,17.391,40.217,39.706,5.000,0.687644,0.720705,0.799766,0.611213,0.626270,0.736889,0.664079
108,0.736084,69.000,1.848133,47.250,0.00016177,22.733,81.609,17.391,15.217,32.353,15.000,0.698309,0.737768,0.828553,0.635470,0.649386,0.716690,0.661447
109,0.758838,70.000,1.730064,46.250,0.00015589,22.708,82.184,10.870,28.261,10.294,20.000,0.698132,0.732202,0.822526,0.591931,0.644516,0.720898,0.710789
110,0.694461,72.500,1.732893,47.000,0.00015000,22.809,78.736,21.739,16.304,35.294,10.000,0.699577,0.732206,0.818101,0.641427,0.627717,0.730510,0.680132
111,0.681603,73.500,1.798899,45.250,0.00014411,22.748,83.333,8.696,15.217,19.118,25.000,0.696083,0.734337,0.828858,0.643454,0.628141,0.719304,0.660658
112,0.710495,73.250,1.772875,46.000,0.00013823,22.824,77.586,10.870,23.913,29.412,10.000,0.683460,0.719523,0.803428,0.616618,0.629341,0.716469,0.651447
113,0.711729,72.583,1.764492,48.250,0.00013237,22.790,85.057,6.522,33.696,11.765,15.000,0.691411,0.730232,0.819118,0.606485,0.647657,0.716823,0.666974
114,0.694669,71.667,1.811091,49.000,0.00012653,22.756,79.310,8.696,36.957,23.529,20.000,0.697112,0.730562,0.810167,0.610108,0.649457,0.731751,0.684079
115,0.682611,73.917,1.790961,47.500,0.00012074,22.836,81.609,26.087,11.957,32.353,15.000,0.707041,0.740408,0.822983,0.638787,0.642857,0.746368,0.684211
116,0.671833,73.583,1.813529,44.750,0.00011498,22.771,85.057,13.043,14.130,13.235,15.000,0.695700,0.721625,0.806963,0.647691,0.617024,0.698795,0.708026
117,0.668849,73.833,1.764977,47.750,0.00010928,22.767,79.310,4.348,30.435,27.941,20.000,0.700423,0.734888,0.820924,0.607836,0.644022,0.735781,0.693553
118,0.642351,75.250,1.867388,45.000,0.00010365,22.738,77.011,10.870,25.000,20.588,20.000,0.691855,0.719658,0.802284,0.635716,0.618648,0.709470,0.693158
119,0.640372,74.000,1.813172,49.500,0.00009808,22.805,79.885,17.391,29.348,32.353,10.000,0.695283,0.725219,0.805157,0.625952,0.641128,0.711021,0.693158
120,0.627464,76.250,1.808046,42.000,0.00009260,22.784,75.287,8.696,19.565,16.176,20.000,0.671377,0.702195,0.790382,0.617293,0.600226,0.682406,0.666579
121,0.636285,76.333,1.879378,45.250,0.00008720,22.749,77.586,10.870,20.652,29.412,10.000,0.691366,0.724140,0.808895,0.619565,0.624965,0.725904,0.677500
122,0.603495,77.833,1.886150,44.750,0.00008190,22.739,80.460,6.522,19.565,20.588,20.000,0.684743,0.716810,0.807395,0.604950,0.610107,0.713634,0.687632
123,0.628441,75.833,1.840739,44.750,0.00007671,22.779,77.586,19.565,18.478,20.588,20.000,0.690710,0.720925,0.805640,0.635655,0.625318,0.701674,0.685263
124,0.604639,76.833,1.874458,45.500,0.00007163,22.727,81.609,8.696,21.739,17.647,20.000,0.693389,0.724161,0.810930,0.633382,0.625600,0.706901,0.690132
125,0.611196,77.667,1.880741,44.000,0.00006666,22.801,79.310,4.348,21.739,19.118,15.000,0.688361,0.718918,0.801673,0.626934,0.622036,0.712217,0.678947
126,0.586527,78.667,1.933358,44.250,0.00006183,22.729,77.011,10.870,18.478,27.941,10.000,0.685566,0.717623,0.798952,0.607590,0.628811,0.716292,0.676184
127,0.601777,77.167,1.859156,45.250,0.00005714,22.770,77.586,21.739,20.652,22.059,10.000,0.686382,0.715616,0.798901,0.631847,0.619424,0.698972,0.682763
128,0.584111,77.583,1.923017,45.250,0.00005258,22.758,78.161,8.696,26.087,17.647,25.000,0.693880,0.723720,0.805895,0.626320,0.633364,0.710533,0.693289
129,0.587558,78.500,1.920579,45.500,0.00004818,22.758,77.586,4.348,28.261,23.529,15.000,0.688869,0.716388,0.796511,0.612073,0.617130,0.722050,0.696579
130,0.561545,79.917,1.911037,43.500,0.00004393,22.735,78.736,8.696,19.565,16.176,20.000,0.681394,0.713380,0.799741,0.616003,0.616177,0.701497,0.673553
131,0.599974,77.167,1.919574,44.750,0.00003985,22.759,78.161,15.217,20.652,20.588,15.000,0.680604,0.712934,0.798774,0.616802,0.613354,0.706325,0.667763
132,0.556813,79.500,1.937372,44.500,0.00003594,22.741,77.586,10.870,22.826,19.118,20.000,0.684877,0.714096,0.798698,0.614837,0.612295,0.710002,0.688553
133,0.554483,80.167,1.912448,46.500,0.00003220,22.806,77.586,13.043,31.522,17.647,20.000,0.688600,0.717870,0.798774,0.621039,0.623059,0.713944,0.686184
134,0.544008,79.583,1.947946,44.500,0.00002865,22.753,78.161,10.870,22.826,17.647,20.000,0.684332,0.713256,0.796257,0.623311,0.615895,0.701984,0.684211
135,0.551302,79.833,1.929980,45.000,0.00002528,22.765,78.736,13.043,20.652,20.588,20.000,0.683600,0.712451,0.800020,0.617477,0.611131,0.695030,0.694342
136,0.572425,78.917,1.919239,46.000,0.00002210,22.783,78.161,15.217,25.000,19.118,25.000,0.689473,0.719106,0.803631,0.628101,0.621330,0.705617,0.688684
137,0.564213,78.750,1.905597,46.000,0.00001913,22.732,78.161,13.043,25.000,22.059,20.000,0.686360,0.716179,0.799563,0.619749,0.621436,0.705129,0.685921
138,0.564484,79.417,1.917992,44.750,0.00001635,22.726,78.161,13.043,22.826,19.118,15.000,0.681370,0.712021,0.794451,0.611705,0.621965,0.700833,0.677895
139,0.549275,79.417,1.930430,44.500,0.00001378,22.761,78.161,13.043,21.739,19.118,15.000,0.682939,0.714346,0.798901,0.619565,0.619459,0.702162,0.674605
140,0.549622,78.417,1.947289,44.000,0.00001142,22.755,78.736,13.043,19.565,17.647,15.000,0.679693,0.711251,0.795621,0.608511,0.620589,0.697954,0.675789
141,0.554498,79.917,1.944534,44.500,0.00000927,22.796,78.161,10.870,22.826,17.647,20.000,0.681868,0.713674,0.801673,0.609310,0.617060,0.699061,0.682237
142,0.539846,79.833,1.946291,44.750,0.00000734,22.771,78.736,10.870,22.826,17.647,20.000,0.678276,0.710566,0.798978,0.606853,0.616071,0.692107,0.677368
143,0.528341,80.750,1.936559,44.250,0.00000563,22.734,77.586,10.870,22.826,17.647,20.000,0.681102,0.712605,0.799334,0.611275,0.618012,0.696758,0.680132
144,0.553910,80.167,1.954490,43.500,0.00000414,22.755,77.011,10.870,19.565,19.118,20.000,0.682442,0.713769,0.800783,0.616188,0.618895,0.695030,0.681316
145,0.538668,80.167,1.961223,44.000,0.00000288,22.747,77.011,13.043,20.652,19.118,20.000,0.684759,0.715190,0.799639,0.616863,0.620695,0.702649,0.683947
146,0.549029,80.250,1.969108,44.500,0.00000185,22.727,78.161,13.043,21.739,17.647,20.000,0.683386,0.715109,0.802207,0.611521,0.620447,0.699858,0.682895
147,0.535461,81.250,1.953161,45.750,0.00000104,22.737,78.736,15.217,23.913,19.118,20.000,0.685304,0.716633,0.801851,0.607590,0.622706,0.708451,0.685921
148,0.558868,80.083,1.932295,45.250,0.00000046,22.762,80.460,15.217,18.478,19.118,20.000,0.686626,0.718410,0.804089,0.612687,0.623906,0.708762,0.683684
149,0.531026,80.167,1.954566,44.500,0.00000012,22.808,78.736,10.870,20.652,19.118,20.000,0.684641,0.716566,0.803275,0.608143,0.623341,0.703446,0.685000
150,0.543188,80.333,1.958857,44.250,0.00030000,22.803,78.736,10.870,21.739,16.176,20.000,0.685733,0.717442,0.804801,0.611643,0.622106,0.703535,0.686579
