epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time_sec,test_acc_c0,test_acc_c1,test_acc_c2,test_acc_c3,test_acc_c4,test_acc_c5,test_acc_c6,test_auc_macro,test_auc_weighted,test_auc_c0,test_auc_c1,test_auc_c2,test_auc_c3,test_auc_c4,test_auc_c5,test_auc_c6
92,0.103116,96.330,0.817393,81.945,0.00024742,136.916,72.727,67.961,62.273,60.870,46.637,93.065,75.862,0.954926,0.946867,0.957593,0.974136,0.951963,0.950994,0.907601,0.948862,0.993334
93,0.092355,96.604,0.771323,82.643,0.00024286,137.063,60.606,71.845,75.000,43.478,54.709,91.201,79.310,0.954644,0.947931,0.958882,0.977328,0.951879,0.955732,0.911066,0.949837,0.977785
94,0.090374,96.742,0.797262,82.145,0.00023817,137.030,57.576,66.990,76.364,39.130,50.673,91.275,89.655,0.956234,0.946282,0.955811,0.972104,0.951873,0.955929,0.917181,0.946551,0.994189
95,0.086609,96.792,0.789131,81.696,0.00023334,137.019,65.152,72.816,63.636,56.522,57.848,90.604,79.310,0.955496,0.945428,0.962610,0.975442,0.951589,0.952442,0.913160,0.945599,0.987627
96,0.089536,96.667,0.772739,82.294,0.00022837,137.010,51.515,66.990,65.455,39.130,64.574,91.201,93.103,0.953799,0.945779,0.958460,0.970613,0.943433,0.949392,0.921102,0.946787,0.986807
97,0.093579,96.779,0.770486,82.195,0.00022329,136.984,72.727,65.049,70.000,34.783,66.816,89.113,93.103,0.957933,0.946765,0.956679,0.973962,0.947741,0.961282,0.921578,0.946872,0.997417
98,0.079009,97.116,0.822628,81.446,0.00021810,136.982,62.121,62.136,75.000,43.478,59.641,89.113,86.207,0.951231,0.942063,0.946825,0.971890,0.931928,0.948186,0.925941,0.942715,0.991135
99,0.068546,97.690,0.831745,82.693,0.00021280,137.102,71.212,64.078,62.727,56.522,62.332,91.723,86.207,0.954390,0.947878,0.953053,0.970098,0.947250,0.950029,0.926734,0.948699,0.984870
100,0.061140,98.115,0.845330,82.643,0.00020740,137.004,72.727,73.786,59.091,47.826,68.610,90.679,79.310,0.954121,0.944686,0.958343,0.972824,0.945915,0.948449,0.923422,0.944236,0.985655
101,0.058271,98.152,0.819402,82.444,0.00020192,136.935,51.515,69.903,75.455,39.130,65.919,89.411,89.655,0.957782,0.948553,0.955968,0.970843,0.949419,0.959768,0.923514,0.949286,0.995672
102,0.062505,97.790,0.817918,82.943,0.00019635,136.919,63.636,69.903,66.364,34.783,62.780,91.573,93.103,0.956646,0.949344,0.955280,0.973666,0.950194,0.947484,0.923326,0.950390,0.996178
103,0.056443,97.915,0.842240,82.643,0.00019072,137.047,68.182,69.903,76.818,39.130,55.605,90.380,89.655,0.957121,0.947023,0.959968,0.976887,0.951362,0.950380,0.915671,0.947431,0.998150
104,0.053037,98.052,0.977971,81.397,0.00018502,137.145,71.212,74.757,54.091,60.870,56.054,91.424,82.759,0.951321,0.939694,0.953537,0.974922,0.935385,0.956434,0.904405,0.941440,0.993124
105,0.062385,97.878,0.854621,83.392,0.00017926,137.083,74.242,63.107,68.636,47.826,55.157,93.065,86.207,0.958801,0.948484,0.961891,0.973794,0.950377,0.967512,0.914053,0.949984,0.993997
106,0.049640,98.190,0.820161,83.242,0.00017347,137.140,65.152,66.019,70.455,52.174,65.471,90.902,89.655,0.959499,0.950031,0.958820,0.973916,0.951226,0.961918,0.923560,0.950766,0.996283
107,0.038622,98.752,0.871933,83.092,0.00016763,137.017,60.606,66.990,76.364,43.478,61.435,90.902,79.310,0.956270,0.947994,0.953600,0.972257,0.953727,0.956960,0.921907,0.948250,0.987191
108,0.037605,98.664,0.864490,82.943,0.00016177,136.931,68.182,64.078,72.273,47.826,59.193,91.424,82.759,0.954456,0.948443,0.960304,0.968822,0.953481,0.946563,0.922909,0.949062,0.980054
109,0.040654,98.627,0.834386,83.092,0.00015589,136.905,60.606,67.961,68.182,52.174,64.574,91.275,89.655,0.958976,0.950540,0.949591,0.969327,0.950764,0.964112,0.932008,0.950971,0.996056
110,0.037828,98.664,0.924202,81.895,0.00015000,136.867,51.515,70.874,69.091,47.826,66.368,89.635,75.862,0.954912,0.944312,0.950670,0.973850,0.949226,0.949634,0.922842,0.943310,0.994852
111,0.042352,98.589,0.907524,82.544,0.00014411,136.921,69.697,71.845,72.727,47.826,62.332,89.411,89.655,0.957825,0.948410,0.940582,0.972752,0.948498,0.968170,0.927167,0.949020,0.998586
112,0.031803,98.964,0.900077,83.591,0.00013823,137.039,65.152,66.019,72.727,47.826,59.641,92.095,89.655,0.955990,0.946928,0.950677,0.971236,0.952552,0.955008,0.915807,0.947870,0.998778
113,0.034944,98.939,0.888356,82.594,0.00013237,136.971,65.152,66.019,68.182,52.174,62.332,91.126,75.862,0.959756,0.948512,0.961242,0.968158,0.956453,0.966108,0.923515,0.947926,0.994887
114,0.027876,99.189,0.947170,82.045,0.00012653,137.023,66.667,69.903,73.182,39.130,58.296,89.709,89.655,0.958433,0.949435,0.958734,0.968786,0.954220,0.959724,0.920533,0.950313,0.996719
115,0.026806,99.164,0.916201,82.893,0.00012074,136.971,65.152,67.961,69.545,43.478,61.883,91.126,89.655,0.956715,0.944999,0.961797,0.972747,0.952490,0.955688,0.912020,0.944982,0.997278
116,0.019029,99.413,0.899804,82.843,0.00011498,137.016,69.697,66.990,74.091,47.826,63.229,89.784,93.103,0.960077,0.947807,0.959085,0.972844,0.954637,0.971548,0.917066,0.947838,0.997522
117,0.016774,99.538,0.926903,83.641,0.00010928,137.119,66.667,74.757,70.455,47.826,61.883,91.350,93.103,0.958362,0.948928,0.950834,0.974406,0.954767,0.961852,0.919494,0.949539,0.997644
118,0.019128,99.276,0.935773,82.594,0.00010365,137.025,60.606,68.932,70.909,43.478,66.816,89.858,86.207,0.956984,0.946904,0.953827,0.973717,0.949806,0.961238,0.916834,0.947726,0.995742
119,0.016945,99.501,0.947329,83.192,0.00009808,137.028,59.091,72.816,72.727,39.130,62.780,90.902,89.655,0.954154,0.945598,0.942715,0.975136,0.948174,0.949239,0.919718,0.946158,0.997941
120,0.018705,99.438,0.906036,83.441,0.00009260,137.051,60.606,67.961,71.818,56.522,63.229,91.424,86.207,0.959459,0.950447,0.956405,0.975039,0.954177,0.959044,0.922517,0.951124,0.997906
121,0.012355,99.650,0.913758,83.541,0.00008720,136.936,66.667,73.786,70.909,43.478,60.987,91.573,86.207,0.955808,0.947677,0.944411,0.978421,0.956376,0.950950,0.915254,0.948320,0.996929
122,0.009828,99.750,0.958035,83.392,0.00008190,136.946,72.727,69.903,66.818,47.826,65.022,91.201,89.655,0.956552,0.948124,0.953987,0.971943,0.949845,0.953856,0.919761,0.949280,0.997190
123,0.015863,99.463,0.970029,82.145,0.00007671,137.070,69.697,67.961,75.455,43.478,62.332,88.814,86.207,0.958581,0.947819,0.948419,0.977476,0.954206,0.971987,0.910855,0.949110,0.998011
124,0.013067,99.713,0.985222,83.491,0.00007163,137.082,68.182,69.903,68.182,43.478,59.193,92.468,86.207,0.956446,0.947120,0.957171,0.973855,0.950427,0.954131,0.913446,0.948416,0.997679
125,0.009429,99.813,0.955326,83.641,0.00006666,137.061,66.667,70.874,70.000,43.478,61.883,91.872,89.655,0.956846,0.946418,0.956948,0.973819,0.952902,0.955886,0.913376,0.946947,0.998046
126,0.012705,99.600,0.983467,83.441,0.00006183,136.968,65.152,68.932,75.455,39.130,60.090,91.424,82.759,0.954655,0.944744,0.951060,0.971571,0.950413,0.954547,0.912034,0.945575,0.997382
127,0.010177,99.675,0.958026,83.541,0.00005714,137.099,65.152,68.932,74.545,47.826,65.022,90.604,89.655,0.958167,0.948021,0.957484,0.974478,0.953776,0.957202,0.917559,0.948401,0.998272
