coverage,risk_mean,ci_low,ci_high
0.8425000000,0.4071216617,0.3901571205,0.4240862029
0.8450000000,0.4076923077,0.3909786093,0.4244060061
0.8475000000,0.4076696165,0.3914127251,0.4239265079
0.8500000000,0.4082352941,0.3900854187,0.4263851695
0.8525000000,0.4093841642,0.3916202696,0.4271480589
0.8550000000,0.4087719298,0.3920554082,0.4254884514
0.8575000000,0.4093294461,0.3922347100,0.4264241822
0.8600000000,0.4087209302,0.3911119533,0.4263299072
0.8625000000,0.4092753623,0.3929007824,0.4256499422
0.8650000000,0.4098265896,0.3933033226,0.4263498566
0.8675000000,0.4103746398,0.3934769612,0.4272723184
0.8700000000,0.4103448276,0.3931590638,0.4275305913
0.8725000000,0.4097421203,0.3919532378,0.4275310028
0.8750000000,0.4108571429,0.3925259100,0.4291883758
0.8775000000,0.4108262108,0.3909090879,0.4307433337
0.8800000000,0.4125000000,0.3926394598,0.4323605402
0.8825000000,0.4130311615,0.3927637434,0.4332985795
0.8850000000,0.4135593220,0.3922816193,0.4348370247
0.8875000000,0.4140845070,0.3925235748,0.4356454393
0.8900000000,0.4151685393,0.3943289959,0.4360080827
0.8925000000,0.4156862745,0.3950218543,0.4363506948
0.8950000000,0.4162011173,0.3955361254,0.4368661092
0.8975000000,0.4172701950,0.3976439337,0.4368964563
0.9000000000,0.4177777778,0.3964325411,0.4391230145
0.9025000000,0.4188365651,0.3968936617,0.4407794685
0.9050000000,0.4187845304,0.3970100379,0.4405590229
0.9075000000,0.4198347107,0.3974568097,0.4422126118
0.9100000000,0.4192307692,0.3975759168,0.4408856217
0.9125000000,0.4186301370,0.3976048029,0.4396554711
0.9150000000,0.4191256831,0.3992569551,0.4389944110
0.9175000000,0.4196185286,0.3998907819,0.4393462753
0.9200000000,0.4201086957,0.3986892221,0.4415281692
0.9225000000,0.4216802168,0.4003187906,0.4430416430
0.9250000000,0.4221621622,0.4019712170,0.4423531074
0.9275000000,0.4221024259,0.4017997123,0.4424051395
0.9300000000,0.4220430108,0.4027240592,0.4413619623
0.9325000000,0.4230563003,0.4044623119,0.4416502886
0.9350000000,0.4240641711,0.4043390427,0.4437892996
0.9375000000,0.4234666667,0.4034078249,0.4435255085
0.9400000000,0.4239361702,0.4051681914,0.4427041491
0.9425000000,0.4244031830,0.4049183467,0.4438880193
0.9450000000,0.4248677249,0.4064903084,0.4432451414
0.9475000000,0.4248021108,0.4061251349,0.4434790868
0.9500000000,0.4252631579,0.4058494789,0.4446768369
0.9525000000,0.4257217848,0.4070857724,0.4443577971
0.9550000000,0.4261780105,0.4086136577,0.4437423633
0.9575000000,0.4266318538,0.4100060294,0.4432576782
0.9600000000,0.4276041667,0.4115339645,0.4436743689
0.9625000000,0.4280519481,0.4132024665,0.4429014296
0.9650000000,0.4290155440,0.4141696422,0.4438614459
0.9675000000,0.4299741602,0.4155183931,0.4444299273
0.9700000000,0.4304123711,0.4166479413,0.4441768010
0.9725000000,0.4303341902,0.4180545584,0.4426138220
0.9750000000,0.4312820513,0.4192847475,0.4432793550
0.9775000000,0.4327365729,0.4207699528,0.4447031930
0.9800000000,0.4331632653,0.4198371166,0.4464894140
0.9825000000,0.4340966921,0.4211467991,0.4470465851
0.9850000000,0.4345177665,0.4201796191,0.4488559139
0.9875000000,0.4344303797,0.4194205966,0.4494401629
0.9900000000,0.4353535354,0.4210533861,0.4496536846
0.9925000000,0.4357682620,0.4216073732,0.4499291508
0.9950000000,0.4356783920,0.4219727409,0.4493840430
0.9975000000,0.4360902256,0.4234494662,0.4487309850
1.0000000000,0.4370000000,0.4239403743,0.4500596257
